Category,Quantity,References,Value,Stock Code,Unit Cost
Resistors,1,R1,100,Digikey 311-137KFDKR-ND,
Resistors,4,"R2-R3,R7-R8",300,Digikey 311-137KFDKR-ND,
Resistors,2,"R4,R9",600,Digikey 311-137KFDKR-ND,
Resistors,1,R5,180,Digikey 311-137KFDKR-ND,
Resistors,1,R6,420,Digikey 311-137KFDKR-ND,
Resistors,5,"R10,R12,R14,R16-R17",1K,Digikey 311-137KFDKR-ND,
Resistors,4,"R11,R13,R18-R19",4.7K,Digikey 311-137KFDKR-ND,
Resistors,1,R15,4.7k,Digikey 311-137KFDKR-ND,
Transistors,5,Q1-Q5,L2SC4083PWT1G,Digikey NE94430-ND,
Diodes,21,"D1-D10,D12-D22",LED,,
Diodes,5,D24-D28,DIODE,,
Miscellaneous,3,BAT1-BAT3,3V,,
Miscellaneous,1,J1,CONN-SIL7,,
Miscellaneous,1,J2,CONN-SIL2,,
